cid,code_name
201002-5397,
201101-6952,Queen 14
200912-4897,
201001-4957,
200608-12,
201103-7382,Margaux
200801-212,
201103-7413,
200911-4633,Roberts (Intel)
201004-5578,Vostro NB/DT ryu 743
201003-5428,
200805-503,
200910-4237,
200804-254,
201003-5427,
200908-3477,
201004-5574,winery15  -  Vostro 3500 15" C1
200804-255,
201004-5571,winery14  -  Vostro 3400 14" C1
201202-10552,Dalmore 14
201201-10393,Palm Beach MLK
201106-8234,
201203-10689,Yanshui
201109-9788,Negril
201208-11512,
201202-10509,Audi 14 Intel
201201-10376,Comoros
201202-10403,Audi 17 Intel
201101-6955,Macallan
201205-11017,stella-asahi
201105-8043,Queen 15 AMD
201104-7785,Enrico15AMD
201202-10550,Korbel 14
201206-11418,Audi 14 AMD
201202-10527,Mercedes 14 Intel
201105-8044,Queen 14 AMD
201208-11520,Madao
201105-8045,Nivara 15 AMD
201208-11513,
201205-11050,Vans 15
201203-10657,Mercedes 13 Intel
201211-12081,
201105-8052,Norah
201105-8047,Caruso 14intel Arrandale
201201-10382,Lanikai Core
201212-12226,
201201-10392,Palm Beach MLK
201206-11383,Anding
201202-10547,Korbel 15
201203-10658,Mercedes 13
201209-11735,
201202-10548,Korbel 14
201104-7889,Caruso 14 Intel SNB
201206-11169,KOBE
201109-9789,Little Sur
201005-5771,Telstra
201105-8078,Caruso 15 Intel Arrandale
201201-10357,Pebble Beach
201204-10892,Stella-Sapporo AIO CedarTrail
201202-10559,Dalmore 13
201205-11051,Vans 17
201210-12053,
201203-10685,
201110-9891,Beitou
201209-11840,Spyder-MLK
201202-10530,Mercedes-14-Intel
201208-11618,Stella-Heineken
201201-10354,Xinbeitou
201203-10696,
201203-10695,Yanshui
201105-8053,Norah
201202-10551,Dalmore 12
201210-12055,
201209-11625,
201212-12225,
201201-10339,Dalmore 15
201101-6947,Macallan 14
201209-11783,Anding
201203-10697,
201012-6925,Macallan
201209-11782,Anding
201201-10396,Eagleton
201111-10181,
201207-11419,
201107-8317,
201201-10358,Pebble Beach
201202-10556,Lanikai AIO
201105-8049,Jones
201104-7938,Enrico 14 Intel SNB
201202-10404,Audi 17 Intel
201104-7736,Enrico14AMD
201206-11167,kobe4
201112-10227,
201206-11382,Anding
201205-11049,Vans 15
201206-11159,Stella-Heineken
201206-11407,Stella-Heineken
201108-8941,Daxing
201209-11816,
201206-11376,Anding
201202-10591,Enrico 14 MLK
201201-10355,Xinbeitou
201201-10338,Dalmore 14 ATG
201201-10377,Audi 15 Intel
201201-10397,Eagleton
201208-11521,Madao
201011-6836,Macallan
201105-8051,Norah
201203-10659,Dalmore 14 Lite
201203-10678,Audi 15 Turbo
201202-10402,Mercedes 15 Intel
201202-10555,Olympic
201211-12080,
201203-10664,Audi 14 Turbo
201103-7454,Guandu
201206-11396,Stella-Heineken
201105-8042,Queen 15 AMD
201105-8077,Caruso 15 Intel SNB
201206-11401,Stella-Heineken
201206-11409,AMD A75 FCH
201211-12082,
201011-6843,Macallan
201202-10606,Audi 17 Turbo
201208-11540,OAK 15 Intel
201206-11394,AUDI-15-AMD
201104-7890,Caruso 14 Intel SNB
201105-8079,Enrico 15 Intel SNB
201105-8048,Jones
201104-7783,Enrico15 intel Arrandale
201209-11624,
201202-10558,Caruso 15 MLK
201205-11048,Vans 15
201201-10399,Sawgrass
201206-11385,Anding
201108-8942,Daxing
201202-10508,Audi 14 Intel
201112-10228,
201202-10546,Korbel 15
201201-10372,Dalmore 14
201009-6529,Dole
201206-11393,AUDI-15-AMD
201201-10383,Lanikai 7
201202-10593,Caruso 14 MLK
201110-10073,Beitou
201212-12227,
201202-10589,Enrico 14 MLK
201201-10378,Audi 15 Intel
201103-7458,
201201-10381,Lanikai Core
201212-12224,
201111-10169,Beitou
201105-8050,Jones
201104-7891,Enrico 14 Intel SNB
201202-10511,Audi 14 Intel
201206-11379,Anding
201209-11628,
201203-10655,Audi 13 Intel
201011-6842,Macallan
201202-10590,Enrico 14 MLK
201105-8046,Caruso 14intel Arrandale
201201-10384,Lanikai 7
201201-10370,Pine Valley
201203-10656,Audi 13 Intel
201106-8236,
201201-10380,Lanikai Core
201104-7598,Patron
201103-7416,North Shore
201202-10605,Mercedes 15 Intel
201104-7784,Patron
201205-11041,Vans 17
201201-10398,Mission Hill
201108-8338,Daxing
201202-10592,Caruso 14 MLK
201202-10549,Korbel 14
201203-10687,Yanshui
201112-10226,
201201-10371,Sunrise
201105-7956,Danshuei
201012-6934,Macallan
201109-9790,Big Sur
201202-10557,Enrico 15 MLK
201207-11420,
201209-11731,
201208-11519,Annan
201210-11903,Annan
201112-10283,Xinbeitou
201206-11387,Anding
201209-11784,Andromeda R1
201106-8240,
201209-11781,Anding
201012-6926,Macallan
201205-11042,Vans 17
201111-10180,
201210-12054,
201004-5597,Optiplex XE SFF Telstra SFF XE
200804-261,
200810-1113,
200712-192,
200810-1118,
200910-4520,
200607-1,
200804-257,
200712-185,
200712-201,
200902-1623,
200712-198,
200804-263,
200712-195,
200712-193,
200712-183,
200607-3,
200712-189,
200810-1112,
200712-202,
200810-1117,
200712-180,
200712-191,Validation lab
200712-181,
200712-199,
200804-259,
200712-190,Validation lab
200712-196,
200810-1110,
200802-220,
200712-197,
200712-188,
200907-3172,
200712-182,
200804-264,
200712-186,
200907-3171,
200712-184,
200608-10,
200712-200,Validation lab
200804-258,
200802-222,
200804-265,
200903-1691,
200804-267,
200712-203,
200804-266,
200712-194,
200802-221,
200907-3173,
200810-1111,
200810-1116,
200810-1115,
201103-7450,Intel
201108-8931,lowell
201101-6964,Project is Sutton
201208-11460,
201206-11414,
201111-10186,
201011-6702,
201003-5463,
201204-10864,
201105-8054,Andrews
201101-7006,Macallan
201101-6994,
201103-7440,
201102-7298,
201112-10223,Nozomi 4
201101-6956,Macallan
201011-6700,
201009-6503,C3PO Intel
201101-6978,Brooks 17
201011-6704,
201102-7226,
201103-7424,Nozomi 3
201011-6871,Windu
201202-10627,
201202-10651,picasso
201101-7166,Palm Beach SFF
201011-6703,
201012-6933,Nirvana 15
201202-10574,Swansea
201204-10862,
201103-7448,
201103-7377,Comet
201108-8936,
201202-10579,Belfast
201111-10145,sutton intel/nvidia optimus
201103-7435,Mission Hills
201204-10925,
201102-7227,Diamond 4
201009-6504,R2D2
201103-7446,|t520-nvidia, kendo 3|
201102-7308,Andros
201106-8229,
201006-5930,
201108-8939,
201202-10577,Lampeter
201108-8937,
201206-11246,Z420
201205-11023,
201204-10856,Bolt3
201102-7315,
201011-6844,sidious
201003-5443,
201103-7457,
201206-11172,
201202-10635,shinai4
201107-8279,
201204-10883,
201206-11170,
201101-7170,
201107-8259,Krug 14
201103-7425,
200909-4092,Comiskey
201107-8258,|sutton, amd/ati|
201106-8089,
201204-10926,
201012-6931,Queen 15
201004-5591,Vostro NB/DT Shenyang V430
201003-5465,
201204-10888,
201104-7945,
201103-7381,RYU2
201004-5592,Inspiron skywalker 580/580s
201011-6829,Project Name: Sutton
201202-10575,GRANITE 2
201011-6701,
201203-10844,
201011-6894,Krug
201206-11339,
201103-7374,
201208-11587,Bolt2
200608-8,
201202-10634,shinai4
201101-6961,Andros MLK
201011-6822,Sutton
201207-11435,Z
201103-7379,Lafite
201106-8092,melville
201206-11151,
201103-7427,Armstrong
201009-6589,Riviera
201101-6973,Project Name: Sutton
201211-12165,
201011-6751,
201011-6873,Gold Coast
201011-6872,Gold Coast
201011-6699,
201101-6970,Nirvana 17
201102-7325,
201012-6932,Queen 15
200908-3578,Hasek USFF (Neo)
201004-5594,Vostro NB/DT jetli 230
201106-8252,Shakira
200808-813,
201103-7451,(AMD)
200910-4491,Stonecutter
201204-10860,
201011-6819,Sutton
201101-6969,Nirvana 17
201103-7434,Mission Hills
201012-6938,Nirvana 15
201005-5775,Optiplex Testra XE
201108-8933,lowell
201102-7304,Dasher
201202-10647,Lee
201101-6951,Nirvana 13
201202-10565,Perrin
201204-10927,
200608-9,
201011-6867,Katsiki SFF
201101-6984,Queen 17 Intel
201011-6698,
201202-10639,comet2
201202-10571,KENDO4
201202-10626,
201010-6632,
201206-11247,Z620
201106-8081,Payton
201202-10572,KENDO4
200910-4493,Hasek C2
200910-4293,
201201-10388,
201011-6754,
201101-6960,Windu
201101-6971,Project Name: Sutton
201101-6948,Nirvana 14
201206-11153,
201202-10576,GRANITE 2
200805-581,
201103-7380,Andros
201107-8280,
201204-10884,
201004-5590,Precision Ecco T1500
201206-11248,Z820
201103-7378,C3PO
201102-7326,Sutton
201101-6974,Sutton
201101-7173,Krug MV 14
201107-8255,
201106-8223,Tambor
201205-11132,Kendo4
201204-10924,
201011-6817,Project Name: Sutton
201102-7324,Sutton
201103-7447,
201202-10645,Alexander
200908-3521,Obiwan
201202-10569,KENDO4
200708-156,
201202-10638,comet2
201010-6631,
200811-1152,
201101-7165,Palm Beach MT
201103-7436,Sawgrass -MT
201101-7181,Sutton
201101-7167,Palm Beach DT
201201-10290,Boulder
201011-6753,
201004-5593,Optiplex Wembley 980
201108-8938,
201202-10570,KENDO4
201202-10650,picasso
201208-11585,Bolt2
201204-10886,
201202-10578,Lampeter
201106-8251,Shakira
201010-6647,
201103-7375,
201101-6949,Nirvana 14
201103-7437,Sawgrass
201208-11459,
201011-6697,
201202-10564,Perrin
201103-7443,
201207-11454,
201204-10857,Bolt3
201003-5442,
201206-11390,Bolt3
201201-10337,Picasso
201011-6827,Sutton
201208-11461,
201202-10625,
